datetime,open,high,low,close,volume,symbol,company_name
2020-10-06,76.23,76.74,75.31,75.5,3323793,PM,Philip Morris International
2020-10-05,74.78,76.059998,74.52,75.91,3703387,PM,Philip Morris International
2020-10-02,73.58,75.1265,73.45,74.46,2974573,PM,Philip Morris International
2020-10-01,74.7,74.97,73.51,74.14,3934532,PM,Philip Morris International
2020-09-30,74.54,75.29,74.35,74.99,5410424,PM,Philip Morris International
2020-09-29,75.78,76.12,74.3,74.34,4060236,PM,Philip Morris International
2020-09-28,76.3,77.66,76.17,76.31,3832788,PM,Philip Morris International
2020-09-25,75.68,76.0058975,75.12,75.4,3836607,PM,Philip Morris International
2020-09-24,75.57,77.084999,74.92,76.35,3597201,PM,Philip Morris International
2020-09-23,76.54,77.35,75.285,75.5,5012781,PM,Philip Morris International
2020-09-22,78.050003,78.79,76.88,77.010002,4908530,PM,Philip Morris International
2020-09-21,78.099998,78.3,76.356,77.83,5570006,PM,Philip Morris International
2020-09-18,78.75,79.57,77.99,78.080002,8811521,PM,Philip Morris International
2020-09-17,80.39,80.67,79.16,79.47,5256991,PM,Philip Morris International
2020-09-16,81.76,82.24,80.54,80.6,4104715,PM,Philip Morris International
2020-09-15,82.32,82.52,81.37,81.4,3199334,PM,Philip Morris International
2020-09-14,81.62,82.59,81.31,81.94,3989580,PM,Philip Morris International
2020-09-11,80.76,81.5,80.32,81.23,3007940,PM,Philip Morris International
2020-09-10,80.4,81.23,79.77,80.41,3402834,PM,Philip Morris International
2020-09-09,79.75,81.47,79.56,80.47,4484151,PM,Philip Morris International
2020-09-08,79.43,79.59,77.89,79.029999,4235408,PM,Philip Morris International
2020-09-04,79.97,80.42,78.35,79.15,4107390,PM,Philip Morris International
2020-09-03,80.57,81.61,78.74,79.32,4023990,PM,Philip Morris International
2020-09-02,78.88,80.41,78.84,79.98,3321830,PM,Philip Morris International
2020-09-01,79.14,79.5,78.639,79.040001,3286578,PM,Philip Morris International
2020-08-31,80.51,80.73,79.75,79.79,3582829,PM,Philip Morris International
2020-08-28,79.73,80.8,79.16,80.74,3119190,PM,Philip Morris International
2020-08-27,80.080002,81.22,79.55,80.0,3502398,PM,Philip Morris International
2020-08-26,78.77,80.089996,78.24,79.98,3648614,PM,Philip Morris International
2020-08-25,80.31,80.46,79.26,79.62,3365638,PM,Philip Morris International
2020-08-24,78.29,79.9,78.040001,79.63,2484446,PM,Philip Morris International
2020-08-21,78.31,78.59,77.39,78.059998,2790343,PM,Philip Morris International
2020-08-20,78.36,78.78,78.010002,78.22,2690699,PM,Philip Morris International
2020-08-19,79.33,79.77,78.59,78.7,4483890,PM,Philip Morris International
2020-08-18,78.65,79.42,78.25,79.18,2590766,PM,Philip Morris International
2020-08-17,77.46,78.54,77.059998,78.26,2543014,PM,Philip Morris International
2020-08-14,77.77,78.3,77.37,77.71,2829658,PM,Philip Morris International
2020-08-13,78.86,78.99,77.85,78.14,3925945,PM,Philip Morris International
2020-08-12,79.31,80.059998,79.0,79.69,4922222,PM,Philip Morris International
2020-08-11,79.4,79.91,78.42,78.72,4574811,PM,Philip Morris International
2020-08-10,77.36,78.46,77.26,78.37,4291612,PM,Philip Morris International
2020-08-07,76.58,77.51,76.28,77.5,2912649,PM,Philip Morris International
2020-08-06,76.4,77.2,76.25,77.12,2440290,PM,Philip Morris International
2020-08-05,77.2,77.5105,76.46,76.96,4208170,PM,Philip Morris International
2020-08-04,76.040001,77.38,76.0,77.099998,3399056,PM,Philip Morris International
2020-08-03,76.53,76.85,75.93,76.53,3171649,PM,Philip Morris International
2020-07-31,76.76,77.41,76.11,76.81,4990449,PM,Philip Morris International
2020-07-30,77.76,78.17,77.19,77.45,3422558,PM,Philip Morris International
2020-07-29,77.85,78.695,77.16,78.39,4635825,PM,Philip Morris International
2020-07-28,78.54,79.35,77.89,77.97,4312363,PM,Philip Morris International
2020-07-27,76.8,78.7,76.61,78.54,7596005,PM,Philip Morris International
2020-07-24,77.0,77.88,76.2676,76.85,5694982,PM,Philip Morris International
2020-07-23,75.88,76.39,75.23,76.3,5117127,PM,Philip Morris International
2020-07-22,76.25,76.32,74.040001,76.0,4905188,PM,Philip Morris International
2020-07-21,75.23,76.92,74.9,75.92,6863106,PM,Philip Morris International
2020-07-20,74.6,74.79,72.47,72.89,5448458,PM,Philip Morris International
2020-07-17,75.8,75.8,74.71,75.029999,3303795,PM,Philip Morris International
2020-07-16,74.77,75.55,74.34,75.35,3691796,PM,Philip Morris International
2020-07-15,74.78,75.35,74.53,75.0,3909621,PM,Philip Morris International
2020-07-14,73.12,74.44,72.41,74.31,4781028,PM,Philip Morris International
2020-07-13,72.76,73.88,72.44,73.5,5269622,PM,Philip Morris International
2020-07-10,70.7,73.089996,70.51,72.96,5429112,PM,Philip Morris International
2020-07-09,71.69,72.2,69.87,70.14,4345363,PM,Philip Morris International
2020-07-08,73.0,73.76,71.555,72.3,7498887,PM,Philip Morris International
2020-07-07,70.0,73.21,69.3659,72.94,8160628,PM,Philip Morris International
2020-07-06,71.18,71.38,70.0,70.6,3563005,PM,Philip Morris International
2020-07-02,71.0,71.21,70.1914,70.46,3493790,PM,Philip Morris International
2020-07-01,70.13,71.0,69.88,69.99,3565947,PM,Philip Morris International
2020-06-30,70.040001,70.47,69.43,70.059998,4626314,PM,Philip Morris International
2020-06-29,69.37,70.62,69.019997,70.51,2953735,PM,Philip Morris International
2020-06-26,70.28,70.62,68.37,68.87,9265376,PM,Philip Morris International
2020-06-25,70.099998,70.72,69.64,70.67,4610482,PM,Philip Morris International
2020-06-24,70.73,71.18,69.78,70.089996,5179241,PM,Philip Morris International
2020-06-23,72.87,72.97,71.46,71.49,5239009,PM,Philip Morris International
2020-06-22,72.35,72.73,71.77,72.040001,4107434,PM,Philip Morris International
2020-06-19,73.91,74.34,72.12,72.2,9170171,PM,Philip Morris International
2020-06-18,73.5,74.78,73.36,74.6,3794323,PM,Philip Morris International
2020-06-17,74.9,75.34,73.85,74.089996,4486035,PM,Philip Morris International
2020-06-16,74.24,75.13,73.65,74.66,5958690,PM,Philip Morris International
2020-06-15,69.7,72.4,69.49,72.2,6257093,PM,Philip Morris International
2020-06-12,72.63,72.769,69.89,70.42,6713071,PM,Philip Morris International
2020-06-11,74.15,74.44,71.24,71.25,5981263,PM,Philip Morris International
2020-06-10,76.13,76.39,75.13,75.14,4464289,PM,Philip Morris International
2020-06-09,77.07,77.089996,75.43,75.65,4315422,PM,Philip Morris International
2020-06-08,75.46,77.78,75.099998,77.7,5141371,PM,Philip Morris International
2020-06-05,76.5,77.18,75.78,75.91,5395750,PM,Philip Morris International
2020-06-04,74.0,75.27,73.52,75.19,4206851,PM,Philip Morris International
2020-06-03,74.45,74.6,73.86,74.21,5182552,PM,Philip Morris International
2020-06-02,74.33,74.33,73.2,73.73,3869916,PM,Philip Morris International
2020-06-01,73.35,74.35,73.35,73.79,3312604,PM,Philip Morris International
2020-05-29,72.95,73.62,71.86,73.36,7199967,PM,Philip Morris International
2020-05-28,75.0,75.0,73.47,73.51,5536046,PM,Philip Morris International
2020-05-27,73.5,74.099998,73.0,73.91,5959978,PM,Philip Morris International
2020-05-26,71.57,72.47,71.52,72.13,5627893,PM,Philip Morris International
2020-05-22,70.5,70.64,69.51,70.45,2605296,PM,Philip Morris International
2020-05-21,70.23,71.69,69.83,70.5,6851986,PM,Philip Morris International
2020-05-20,68.79,70.52,68.080002,70.47,5298230,PM,Philip Morris International
2020-05-19,67.87,68.64,67.21,68.51,4830586,PM,Philip Morris International
2020-05-18,69.66,69.87,68.0,68.25,6661594,PM,Philip Morris International
2020-05-15,68.64,68.71,67.46,67.78,3727085,PM,Philip Morris International
2020-05-14,68.5,68.57,66.85,67.96,5878609,PM,Philip Morris International
2020-05-13,69.67,69.99,68.29,68.79,4541172,PM,Philip Morris International
2020-05-12,71.83,72.24,69.87,69.87,4703259,PM,Philip Morris International
2020-05-11,71.75,71.99,70.85,71.28,3916836,PM,Philip Morris International
2020-05-08,71.49,72.43,71.31,72.0,5573860,PM,Philip Morris International
2020-05-07,72.73,72.73,70.07,70.14,7019235,PM,Philip Morris International
2020-05-06,72.43,72.52,69.55,71.5,7199122,PM,Philip Morris International
2020-05-05,73.82,74.36,72.19,72.2,3696468,PM,Philip Morris International
2020-05-04,73.019997,73.4,71.14,73.31,4589837,PM,Philip Morris International
2020-05-01,74.55,74.89,72.91,73.28,4782415,PM,Philip Morris International
2020-04-30,75.95,76.16,72.78,74.6,9192273,PM,Philip Morris International
2020-04-29,78.2,78.44,76.36,76.5,4583635,PM,Philip Morris International
2020-04-28,76.31,78.46,76.11,77.25,5487409,PM,Philip Morris International
2020-04-27,74.050003,75.21,73.6,74.92,3915898,PM,Philip Morris International
2020-04-24,72.5,73.97,72.3,73.67,4193579,PM,Philip Morris International
2020-04-23,73.059998,73.41,71.75,71.78,5332374,PM,Philip Morris International
2020-04-22,73.67,73.86,71.85,73.059998,4868476,PM,Philip Morris International
2020-04-21,72.98,75.52,71.6,72.28,7726870,PM,Philip Morris International
2020-04-20,76.14,78.14,75.77,76.86,5953710,PM,Philip Morris International
2020-04-17,76.42,78.87,76.19,77.96,5352201,PM,Philip Morris International
2020-04-16,76.0,76.48,74.22,75.39,4531935,PM,Philip Morris International
2020-04-15,75.6,75.83,73.77,75.44,5730260,PM,Philip Morris International
2020-04-14,74.35,77.45,74.15,77.18,6154179,PM,Philip Morris International
2020-04-13,75.010002,75.48,73.67,73.95,6382036,PM,Philip Morris International
2020-04-09,75.92,77.73,74.93,75.34,9281097,PM,Philip Morris International
2020-04-08,75.17,75.91,74.36,74.66,6566022,PM,Philip Morris International
2020-04-07,76.87,77.27,73.72,74.51,7069823,PM,Philip Morris International
2020-04-06,75.38,76.61,74.16,75.68,6293193,PM,Philip Morris International
2020-04-03,75.44,75.5,72.77,73.46,5254072,PM,Philip Morris International
2020-04-02,70.26,75.059998,70.12,74.34,6143485,PM,Philip Morris International
2020-04-01,69.77,71.99,69.28,71.12,6497626,PM,Philip Morris International
2020-03-31,72.57,75.019997,72.2,72.96,11602083,PM,Philip Morris International
2020-03-30,70.32,73.0,70.019997,72.55,6361417,PM,Philip Morris International
2020-03-27,68.79,71.58,67.39,69.15,7972351,PM,Philip Morris International
2020-03-26,66.13,72.040001,65.98,71.16,7831841,PM,Philip Morris International
2020-03-25,61.61,68.58,61.0099983,66.07,9075334,PM,Philip Morris International
2020-03-24,60.95,66.11,60.78,63.6,9328695,PM,Philip Morris International
2020-03-23,58.96,60.58,56.0099983,59.98,14031212,PM,Philip Morris International
2020-03-20,64.9,65.26,60.29,61.09,12175020,PM,Philip Morris International
2020-03-19,64.26,67.22,61.0099983,66.43,9453624,PM,Philip Morris International
2020-03-18,70.27,73.48,59.83,64.91,14720476,PM,Philip Morris International
2020-03-17,71.67,75.13,70.59,73.99,11051449,PM,Philip Morris International
2020-03-16,70.76,74.66,68.41,69.6,10163445,PM,Philip Morris International
2020-03-13,75.12,79.79,72.35,79.5,11013489,PM,Philip Morris International
2020-03-12,73.54,76.83,70.27,72.25,11487159,PM,Philip Morris International
2020-03-11,82.040001,82.7,79.089996,79.84,7085011,PM,Philip Morris International
2020-03-10,83.28,84.97,80.88,84.73,7496110,PM,Philip Morris International
2020-03-09,82.17,84.82,79.32,81.63,10717911,PM,Philip Morris International
2020-03-06,84.57,87.56,83.74,87.27,6596919,PM,Philip Morris International
2020-03-05,86.68,89.18,86.5,87.86,6587516,PM,Philip Morris International
2020-03-04,84.34,88.78,84.15,88.74,5675281,PM,Philip Morris International
2020-03-03,84.88,86.95,82.65,83.5,6034743,PM,Philip Morris International
2020-03-02,81.61,85.040001,80.81,84.97,6916634,PM,Philip Morris International
2020-02-28,81.0,81.97,77.73,81.87,13656094,PM,Philip Morris International
2020-02-27,84.86,87.45,83.07,83.07,8930761,PM,Philip Morris International
2020-02-26,85.0,86.62,84.81,86.25,7929931,PM,Philip Morris International
2020-02-25,85.93,87.15,84.13,85.0,6125471,PM,Philip Morris International
2020-02-24,88.22,88.55,85.38,85.57,6497447,PM,Philip Morris International
2020-02-21,86.86,89.7,86.68,89.64,6314321,PM,Philip Morris International
2020-02-20,87.5,87.77,86.14,87.44,3076396,PM,Philip Morris International
2020-02-19,87.81,87.97,86.88,87.88,4372095,PM,Philip Morris International
2020-02-18,88.29,88.39,87.050003,87.44,3606157,PM,Philip Morris International
2020-02-14,88.88,89.23,88.010002,88.5,3348554,PM,Philip Morris International
2020-02-13,88.84,89.72,87.54,88.82,4322761,PM,Philip Morris International
2020-02-12,89.0,89.3,87.37,87.9,4086085,PM,Philip Morris International
2020-02-11,88.75,90.17,88.36,89.44,4975128,PM,Philip Morris International
2020-02-10,87.34,88.77,86.91,88.75,6392718,PM,Philip Morris International
2020-02-07,86.3,87.74,86.22,87.45,4654604,PM,Philip Morris International
2020-02-06,84.8,88.8,84.58,86.18,7306215,PM,Philip Morris International
2020-02-05,83.6,84.78,83.6,83.94,4860796,PM,Philip Morris International
2020-02-04,83.019997,84.11,82.82,83.6,4616202,PM,Philip Morris International
2020-02-03,82.64,84.19,82.64,83.0,3356491,PM,Philip Morris International
2020-01-31,84.19,84.3,82.27,82.7,4861574,PM,Philip Morris International
2020-01-30,83.21,84.53,82.53,84.33,5625112,PM,Philip Morris International
2020-01-29,84.87,85.19,83.94,83.96,4418701,PM,Philip Morris International
2020-01-28,84.55,84.94,84.07,84.68,5263738,PM,Philip Morris International
2020-01-27,85.45,85.9,84.57,84.71,3795386,PM,Philip Morris International
2020-01-24,86.83,87.33,85.64,86.15,3888703,PM,Philip Morris International
2020-01-23,88.56,88.82,87.019997,87.080002,4592411,PM,Philip Morris International
2020-01-22,88.57,89.13,88.49,88.98,4595687,PM,Philip Morris International
2020-01-21,88.44,88.99,87.9,88.87,6373494,PM,Philip Morris International
2020-01-17,88.58,88.88,87.74,88.69,5908432,PM,Philip Morris International
2020-01-16,88.62,88.87,88.19,88.56,2602330,PM,Philip Morris International
2020-01-15,87.31,88.89,87.3,88.32,4155435,PM,Philip Morris International
2020-01-14,87.7,87.94,87.24,87.58,5129270,PM,Philip Morris International
2020-01-13,87.41,88.45,87.27,87.82,5402916,PM,Philip Morris International
2020-01-10,88.96,89.0,87.33,87.46,4411244,PM,Philip Morris International
2020-01-09,88.37,88.67,87.42,88.28,6181643,PM,Philip Morris International
2020-01-08,86.8,88.35,86.43,88.040001,5337627,PM,Philip Morris International
2020-01-07,85.63,86.83,85.27,86.4,4315987,PM,Philip Morris International
2020-01-06,84.91,86.11,84.37,86.019997,7041359,PM,Philip Morris International
2020-01-03,85.029999,85.94,84.86,85.029999,3806670,PM,Philip Morris International
2020-01-02,85.51,86.17,84.76,85.19,4918055,PM,Philip Morris International
