datetime,open,high,low,close,volume,symbol,company_name
2020-05-20,48.63,49.17,48.46,48.87,5417000,DD,DuPont
2020-05-19,47.8,48.91,46.78,47.78,6162300,DD,DuPont
2020-05-18,47.15,48.58,47.080002,48.099998,11273800,DD,DuPont
2020-05-15,44.76,45.84,44.4,45.45,2926700,DD,DuPont
2020-05-14,42.9,45.29,41.83,45.25,7872700,DD,DuPont
2020-05-13,45.12,45.34,43.38,43.9,4420900,DD,DuPont
2020-05-12,46.48,47.56,45.65,45.68,3936700,DD,DuPont
2020-05-11,46.080002,46.62,45.0099983,46.2,4656800,DD,DuPont
2020-05-08,45.29,47.049999,45.040001,46.93,4776600,DD,DuPont
2020-05-07,44.46,45.3,44.36,44.76,4262900,DD,DuPont
2020-05-06,44.8,45.58,43.85,44.040001,5608300,DD,DuPont
2020-05-05,45.98,47.17,44.4,44.69,7990800,DD,DuPont
2020-05-04,44.51,44.77,43.63,44.72,5797700,DD,DuPont
2020-05-01,46.02,46.82,44.81,45.07,4583100,DD,DuPont
2020-04-30,47.09,48.099998,46.54,47.02,6973100,DD,DuPont
2020-04-29,47.89,49.13,47.56,48.17,8298100,DD,DuPont
2020-04-28,45.0,47.0,45.0,46.41,9603400,DD,DuPont
2020-04-27,42.25,44.29,42.060001,43.82,5664900,DD,DuPont
2020-04-24,41.7,42.24,41.02,41.9,5332200,DD,DuPont
2020-04-23,40.16,41.98,40.0099983,41.2,5083600,DD,DuPont
2020-04-22,40.02,40.4,39.31,39.87,3728500,DD,DuPont
2020-04-21,38.54,39.44,38.28,39.07,5031200,DD,DuPont
2020-04-20,38.88,40.65,38.36,39.72,7998800,DD,DuPont
2020-04-17,37.49,38.76,37.33,38.36,7130800,DD,DuPont
2020-04-16,35.63,36.32,34.83,36.22,5324800,DD,DuPont
2020-04-15,37.09,37.14,35.5,35.57,5471800,DD,DuPont
2020-04-14,39.46,40.040001,38.15,38.43,4801400,DD,DuPont
2020-04-13,40.21,40.42,37.96,38.32,5924600,DD,DuPont
2020-04-09,40.2,41.55,39.87,40.78,9293500,DD,DuPont
2020-04-08,37.75,39.18,37.17,38.86,6819700,DD,DuPont
2020-04-07,37.55,38.75,37.16,37.26,9583400,DD,DuPont
2020-04-06,33.99,35.63,33.48,35.39,7307400,DD,DuPont
2020-04-03,32.49,33.47,31.52,31.87,5357100,DD,DuPont
2020-04-02,32.48,34.35,31.89,32.51,6649100,DD,DuPont
2020-04-01,32.39,33.52,32.25,32.52,7712600,DD,DuPont
2020-03-31,35.17,36.63,33.9,34.099998,8274600,DD,DuPont
2020-03-30,33.29,33.8,32.099998,33.62,6377800,DD,DuPont
2020-03-27,34.13,34.8,33.14,33.83,5997000,DD,DuPont
2020-03-26,33.53,36.13,32.51,35.95,8622700,DD,DuPont
2020-03-25,32.75,35.44,31.63,33.23,7815300,DD,DuPont
2020-03-24,30.36,32.86,30.0,32.46,10167900,DD,DuPont
2020-03-23,30.35,31.08,28.33,28.46,7299600,DD,DuPont
2020-03-20,32.53,33.99,30.28,31.47,9584800,DD,DuPont
2020-03-19,31.74,33.63,30.12,31.66,6826300,DD,DuPont
2020-03-18,33.45,34.75,29.059999,32.060001,8937100,DD,DuPont
2020-03-17,35.080002,37.29,33.27,36.0099983,8886000,DD,DuPont
2020-03-16,32.9,35.97,31.63,34.25,9270100,DD,DuPont
2020-03-13,35.32,37.17,34.18,37.099998,10537300,DD,DuPont
2020-03-12,34.3,35.52,32.93,33.28,12437100,DD,DuPont
2020-03-11,36.63,37.61,36.07,36.66,10566100,DD,DuPont
2020-03-10,37.0099983,38.24,35.97,38.12,9931300,DD,DuPont
2020-03-09,36.97,37.93,35.0099983,35.15,16269500,DD,DuPont
2020-03-06,41.040001,42.12,39.91,40.5,14571900,DD,DuPont
2020-03-05,42.63,43.75,42.27,42.42,8795200,DD,DuPont
2020-03-04,44.6,44.6,42.47,44.16,15079800,DD,DuPont
2020-03-03,44.92,46.26,43.47,43.64,10211000,DD,DuPont
2020-03-02,43.060001,44.99,42.51,44.95,9803300,DD,DuPont
2020-02-28,43.12,43.7,42.060001,42.9,13559800,DD,DuPont
2020-02-27,45.82,47.17,45.029999,45.07,8843600,DD,DuPont
2020-02-26,48.25,48.29,46.64,47.26,9556100,DD,DuPont
2020-02-25,50.5,50.5,47.02,47.47,10657600,DD,DuPont
2020-02-24,50.6,50.99,49.6,50.45,7087800,DD,DuPont
2020-02-21,52.22,52.62,52.02,52.43,4033500,DD,DuPont
2020-02-20,53.25,53.65,52.26,52.55,4971900,DD,DuPont
2020-02-19,53.65,53.94,53.29,53.5,6395500,DD,DuPont
2020-02-18,53.42,54.049999,52.57,53.44,8327800,DD,DuPont
2020-02-14,53.35,53.64,52.63,53.099998,5914400,DD,DuPont
2020-02-13,53.16,53.65,52.73,53.27,4241600,DD,DuPont
2020-02-12,52.91,53.87,52.88,53.55,3871900,DD,DuPont
2020-02-11,52.099998,53.6,52.080002,52.69,5609000,DD,DuPont
2020-02-10,52.31,52.7,51.49,51.78,5506000,DD,DuPont
2020-02-07,53.27,53.34,52.13,52.55,5476000,DD,DuPont
2020-02-06,54.5,54.5,53.18,53.81,7749800,DD,DuPont
2020-02-05,53.27,54.48,52.76,54.080002,9275800,DD,DuPont
2020-02-04,52.43,53.060001,51.86,52.7,9403500,DD,DuPont
2020-02-03,51.46,52.080002,50.8,51.81,11306100,DD,DuPont
2020-01-31,52.2,52.33,50.94,51.18,11620900,DD,DuPont
2020-01-30,55.24,55.31,51.72,52.72,22861000,DD,DuPont
2020-01-29,58.16,58.89,57.57,57.69,4828700,DD,DuPont
2020-01-28,57.84,58.41,57.57,57.94,4919300,DD,DuPont
2020-01-27,58.21,58.49,57.37,57.39,6733900,DD,DuPont
2020-01-24,60.54,60.59,59.29,59.39,4405300,DD,DuPont
2020-01-23,60.76,60.92,60.0099983,60.54,5122900,DD,DuPont
2020-01-22,61.72,61.8,60.47,60.78,5447400,DD,DuPont
2020-01-21,61.42,61.91,61.21,61.78,6843100,DD,DuPont
2020-01-17,61.85,62.029999,61.21,61.56,7188300,DD,DuPont
2020-01-16,61.41,62.51,61.13,61.7,8621700,DD,DuPont
2020-01-15,60.17,62.09,60.02,61.14,5748500,DD,DuPont
2020-01-14,60.55,60.94,59.67,60.17,7003200,DD,DuPont
2020-01-13,59.54,60.42,59.31,60.4,8087700,DD,DuPont
2020-01-10,61.11,61.24,59.55,59.71,6599300,DD,DuPont
2020-01-09,61.46,61.79,60.87,60.95,5572300,DD,DuPont
2020-01-08,61.38,61.8,60.86,61.5,6361700,DD,DuPont
2020-01-07,61.92,61.92,60.36,60.77,9185300,DD,DuPont
2020-01-06,61.88,62.47,61.7,61.72,5619000,DD,DuPont
2020-01-03,62.75,62.95,61.88,62.16,6005300,DD,DuPont
2020-01-02,64.8,65.16,63.48,63.5,5967300,DD,DuPont
