datetime,open,high,low,close,volume,symbol,company_name
2022-04-14,64.12,64.72,62.181,62.55,1860100,CEG,Constellation Energy
2022-04-13,62.040001,64.55,61.75,64.2,3405700,CEG,Constellation Energy
2022-04-12,61.0,63.21,60.88,61.87,2553000,CEG,Constellation Energy
2022-04-11,64.18,64.662,60.41,60.68,3487700,CEG,Constellation Energy
2022-04-08,61.22,64.9,60.9,64.019997,4762100,CEG,Constellation Energy
2022-04-07,59.76,61.07,59.35,60.91,3925800,CEG,Constellation Energy
2022-04-06,58.9,60.080002,58.37,59.6,2559400,CEG,Constellation Energy
2022-04-05,58.65,60.32,58.45,59.0,2143100,CEG,Constellation Energy
2022-04-04,58.36,58.7,57.53,58.38,1885100,CEG,Constellation Energy
2022-04-01,56.36,58.3,55.7,58.02,2156500,CEG,Constellation Energy
2022-03-31,58.34,59.080002,55.78,56.25,3817600,CEG,Constellation Energy
2022-03-30,56.17,57.79,55.7,57.5,1934100,CEG,Constellation Energy
2022-03-29,57.0,57.39,54.63,56.33,2201300,CEG,Constellation Energy
2022-03-28,54.38,56.85,54.049999,56.78,3127000,CEG,Constellation Energy
2022-03-25,52.24,53.82,52.029999,53.8,2441200,CEG,Constellation Energy
2022-03-24,51.18,52.58,50.767,52.41,2335200,CEG,Constellation Energy
2022-03-23,50.7,51.77,50.7,50.99,2396200,CEG,Constellation Energy
2022-03-22,50.35,52.049999,50.0099983,51.14,3841900,CEG,Constellation Energy
2022-03-21,48.91,49.43,48.6,49.22,2452000,CEG,Constellation Energy
2022-03-18,50.65,51.41,48.88,49.0099983,9663900,CEG,Constellation Energy
2022-03-17,51.88,52.71,50.91,50.99,2244600,CEG,Constellation Energy
2022-03-16,51.71,52.4,50.35,51.77,2989800,CEG,Constellation Energy
2022-03-15,51.34,51.59,49.9,51.29,2117400,CEG,Constellation Energy
2022-03-14,51.86,51.86,48.59,50.95,2916600,CEG,Constellation Energy
2022-03-11,51.42,51.84,48.29,49.32,3034100,CEG,Constellation Energy
2022-03-10,50.57,51.64,49.27,51.32,2692700,CEG,Constellation Energy
2022-03-09,52.44,53.68,50.59,51.33,3050600,CEG,Constellation Energy
2022-03-08,51.18,55.32,50.85,52.32,3873700,CEG,Constellation Energy
2022-03-07,51.060001,52.58,49.87,51.65,2726900,CEG,Constellation Energy
2022-03-04,49.17,51.040001,48.25,51.0,2544600,CEG,Constellation Energy
2022-03-03,49.82,50.33,47.547,49.52,2072200,CEG,Constellation Energy
2022-03-02,48.0,50.3,47.33,49.46,3517100,CEG,Constellation Energy
2022-03-01,45.62,48.049999,45.35,47.79,4212900,CEG,Constellation Energy
2022-02-28,43.3,46.62,42.46,45.98,5534900,CEG,Constellation Energy
2022-02-25,44.3,44.93,43.74,43.91,2040700,CEG,Constellation Energy
2022-02-24,43.15,44.59,42.22,44.32,2447900,CEG,Constellation Energy
2022-02-23,43.69,43.99,42.18,43.09,2791200,CEG,Constellation Energy
2022-02-22,45.41,45.68,43.49,43.54,2611100,CEG,Constellation Energy
2022-02-18,45.15,45.9,44.8,45.41,2018700,CEG,Constellation Energy
2022-02-17,46.32,47.080002,45.19,45.29,3142600,CEG,Constellation Energy
2022-02-16,47.72,48.47,46.95,47.2,5855300,CEG,Constellation Energy
2022-02-15,47.7,48.45,47.2,48.0,2359800,CEG,Constellation Energy
2022-02-14,48.19,49.0,46.99,48.11,2155000,CEG,Constellation Energy
2022-02-11,46.76,48.91,46.060001,48.09,3456800,CEG,Constellation Energy
2022-02-10,45.51,48.5,45.38,47.049999,2450000,CEG,Constellation Energy
2022-02-09,44.75,47.45,43.88,47.31,4393100,CEG,Constellation Energy
2022-02-08,45.13,47.56,44.17,45.5,7277500,CEG,Constellation Energy
2022-02-07,50.0,50.040001,46.0,46.07,9432500,CEG,Constellation Energy
2022-02-04,52.6,54.33,50.12,50.14,6757800,CEG,Constellation Energy
2022-02-03,52.19,56.57,50.3,53.62,8425500,CEG,Constellation Energy
2022-02-02,50.035,56.23,49.8,53.0099983,23860900,CEG,Constellation Energy
2022-02-01,47.5,50.0,47.049999,49.78,298800,CEG,Constellation Energy
2022-01-31,46.0,48.0,46.0,48.0,71300,CEG,Constellation Energy
2022-01-28,44.55,47.6,44.15,46.75,43600,CEG,Constellation Energy
2022-01-27,47.26,49.62,43.75,45.76,151600,CEG,Constellation Energy
2022-01-26,45.0099983,45.060001,42.25,43.22,90500,CEG,Constellation Energy
2022-01-25,42.5,44.92,41.33,41.898,23500,CEG,Constellation Energy
2022-01-24,44.92,45.0,41.88,42.8,110000,CEG,Constellation Energy
2022-01-21,43.0,49.95,42.95,45.0,329500,CEG,Constellation Energy
2022-01-20,40.95,48.37,40.95,45.0,153400,CEG,Constellation Energy
2022-01-19,38.0,43.0,38.0,42.0,129900,CEG,Constellation Energy
